Vernr;Bokföringsdatum;Registreringsdatum;Konto;Benämning;Ks;Projnr;Verifikationstext;Transaktionsinfo;Debet;Kredit
A1;2023-01-01;2022-12-12;1700;Förutbetalda kostnader / Upplupna intäkter;;;Banhyra VT23;;;4680
A1;2023-01-01;2022-12-12;5222;Hyra lokal;KUL2;;Banhyra VT23;Se A1712 2022;4680;
A2;2023-01-01;2022-12-12;1700;Förutbetalda kostnader / Upplupna intäkter;;;Badmintonhyra VT23;;;9360
A2;2023-01-01;2022-12-12;5222;Hyra lokal;KUL2;;Badmintonhyra VT23;Se A1713 2022;9360;
A3;2023-01-01;2022-12-20;1700;Förutbetalda kostnader / Upplupna intäkter;;;Fika Värdrekrytering;;;210
A3;2023-01-01;2022-12-20;4210;Arrangemangskostnad;FNU2;;Fika Värdrekrytering;Se A1763 2022;210;
A4;2023-01-11;2023-01-11;1941;Bank F;;;Intervjumat;Se A1844 2022;;85
A4;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Intervjumat;;85;
A5;2023-01-11;2023-01-11;1941;Bank F;;;Bokföringsmat;;;85
A5;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Bokföringsmat;Se A1845 2022;85;
A6;2023-01-11;2023-01-11;1941;Bank F;;;Bokföringsmat;;;170
A6;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Bokföringsmat;Se A1846 2022;170;
A7;2023-01-11;2023-01-11;1941;Bank F;;;Bokföringsmat;;;85
A7;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Bokföringsmat;Se A1847 2022;85;
A8;2023-01-11;2023-01-11;1941;Bank F;;;Ledningstack;;;3457,7
A8;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Ledningstack;Se A1848 2022;3457,7;
A9;2023-01-02;2023-01-11;1941;Bank F;;;Kundbet asså (1801);;4;
A9;2023-01-02;2023-01-11;1610;Fordringar;;;Kundbet asså (1801);;;4
A10;2023-01-02;2023-01-11;1941;Bank F;;;Kundbet Axis Communications AB (1778);;1500;
A10;2023-01-02;2023-01-11;1610;Fordringar;;;Kundbet Axis Communications AB (1778);;;1500
A11;2023-01-02;2023-01-11;1941;Bank F;;;Kundbet Triathlon AB (1776);;23000;
A11;2023-01-02;2023-01-11;1610;Fordringar;;;Kundbet Triathlon AB (1776);;;23000
A12;2023-01-02;2023-01-11;1941;Bank F;;;Kundbet Cellavision (1777);;23000;
A12;2023-01-02;2023-01-11;1610;Fordringar;;;Kundbet Cellavision (1777);;;23000
A13;2023-01-03;2023-01-11;1941;Bank F;;;Kundbet Accenture AB (1789);;2000;
A13;2023-01-03;2023-01-11;1610;Fordringar;;;Kundbet Accenture AB (1789);;;2000
A14;2023-01-04;2023-01-11;1941;Bank F;;;Kundbet Selma Nygårds (1796);;150;
A14;2023-01-04;2023-01-11;1610;Fordringar;;;Kundbet Selma Nygårds (1796);;;150
A15;2023-01-11;2023-01-11;1941;Bank F;;;Hyra gasque SING;;;16110
A15;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Hyra gasque SING;Se A1849 2022;16110;
A16;2023-01-11;2023-01-11;1941;Bank F;;;Hyra Nollegasque ;;;34290
A16;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Hyra Nollegasque ;Se A1850 2022;34290;
A17;2023-01-11;2023-01-11;1941;Bank F;;;Hyra Gasque Jubilieum;;;24595
A17;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Hyra Gasque Jubilieum;Se A1851 2022;24595;
A18;2023-01-11;2023-01-11;1942;Bank café;;;Internöverföring;;;80000
A18;2023-01-11;2023-01-11;1941;Bank F;;;Internöverföring;;80000;
A19;2023-01-11;2023-01-11;1941;Bank F;;;Hyra Cornelis Stortorgs;;;3800
A19;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Hyra Cornelis Stortorgs;Se A1825 2022;3800;
A20;2023-01-11;2023-01-11;1941;Bank F;;;E-tryckeriet;;;5947
A20;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;E-tryckeriet;Se A1853 2022;5947;
A21;2023-01-12;2023-03-02;1941;Bank F;;;Tillstånd Farad 1feb;;;1400
A21;2023-01-12;2023-03-02;4210;Arrangemangskostnad;FNU2;;Tillstånd Farad 1feb;;1400;
A22;2023-01-12;2023-03-02;1941;Bank F;;;Tillstånd Farad 2feb;;;1400
A22;2023-01-12;2023-03-02;4210;Arrangemangskostnad;FNU2;;Tillstånd Farad 2feb;;1400;
A23;2023-01-12;2023-01-12;1941;Bank F;;;Tillstånd FETSM;;;1400
A23;2023-01-12;2023-01-12;6950;Avgift till myndighet;SEX1;;Tillstånd FETSM;;1400;
A24;2023-01-13;2023-01-13;1941;Bank F;;;C-cert Prov;;;1200
A24;2023-01-13;2023-01-13;6950;Avgift till myndighet;SEX1;;C-cert Prov;;1200;
A25;2023-01-16;2023-01-16;1941;Bank F;;;Internöverföring;;;20000
A25;2023-01-16;2023-01-16;1942;Bank café;;;Internöverföring;;20000;
A26;2023-01-11;2023-01-16;1941;Bank F;;;Kundbet Teknologkåren vid LTH (1795);;1180;
A26;2023-01-11;2023-01-16;1610;Fordringar;;;Kundbet Teknologkåren vid LTH (1795);;;1180
A27;2023-01-12;2023-01-16;1941;Bank F;;;Kundbet Ericsson AB (1798);;36000;
A27;2023-01-12;2023-01-16;1610;Fordringar;;;Kundbet Ericsson AB (1798);;;36000
A28;2023-01-16;2023-01-16;1941;Bank F;;;Kundbet Herman Zachen (1784);;220;
A28;2023-01-16;2023-01-16;1610;Fordringar;;;Kundbet Herman Zachen (1784);;;220
A29;2023-01-17;2023-01-17;1941;Bank F;;;Adobe creative clouds;;;6243
A29;2023-01-17;2023-01-17;5420;Programvaror;SAN1;;Adobe creative clouds;;6243;
A30;2023-01-23;2023-01-23;1941;Bank F;;;Bilförsäkring;;;1952
A30;2023-01-23;2023-01-23;5612;Försäkring och skatt för personbilar;PRY2;;Bilförsäkring;;1952;
A31;2023-01-20;2023-01-23;1941;Bank F;;;Pris banktjänster enligt faktura;;;1212
A31;2023-01-20;2023-01-23;6570;Bankkostnader;ADM1;;Pris banktjänster enligt faktura;;1212;
A32;2023-01-17;2023-01-23;1942;Bank café;;;Zettle Avgift Lv0 Lp3;;;66,63
A32;2023-01-17;2023-01-23;6571;Transaktionsavgifter;ADM1;;Zettle Avgift Lv0 Lp3;;66,63;
