Radnummer;Bokföringsdatum;Transaktionsdatum;Valutadatum;Transaktionstyp;Referens;Belopp;Bokfört saldo;;;;
1;2023-10-10;2023-10-10;;Överföring via internet;Möss dekoratione;-287,79;57 138,70;;;;
2;2023-10-10;2023-10-10;;Överföring via internet;Bocker till HÄS;-594,00;57 426,49;;;;
3;2023-10-10;2023-10-10;;Överföring via internet;Ramar till HÄS;-839,00;58 020,49;;;;
4;2023-10-10;2023-10-10;;Överföring via internet;Tygg;-185,30;58 859,49;;;;
5;2023-10-10;2023-10-10;;Överföring via internet;Libu nollningsev;-277,20;59 044,79;;;;
6;2023-10-10;2023-10-10;;Överföring via internet;Material libu;-781,90;59 321,99;;;;
7;2023-10-10;2023-10-10;;Överföring via internet;Intervjumat;-325,00;60 103,89;;;;
8;2023-10-10;2023-10-10;;Överföring via internet;Intervjumat;-75,00;60 428,89;;;;
9;2023-10-10;2023-10-10;;Överföring via internet;Bokföringsmat;-85,00;60 503,89;;;;
10;2023-10-10;2023-10-10;;Överföring via internet;Kaffe varvning;-231,70;60 588,89;;;;
11;2023-10-10;2023-10-10;;Överföring via internet;Bokföringsmat;-85,00;60 820,59;;;;
12;2023-10-10;2023-10-10;;Överföring via internet;Fogskum;-119,80;60 905,59;;;;
13;2023-10-10;2023-10-10;;Överföring via internet;Valle b skifte;-428,95;61 025,39;;;;
14;2023-10-10;2023-10-10;;Överföring via internet;Utskottsutbildni;-480,00;61 454,34;;;;
15;2023-10-10;2023-10-10;;Överföring via internet;Hjälmar;-507,00;61 934,34;;;;
16;2023-10-10;2023-10-10;;Överföring via internet;Ledningsskifte;-438,40;62 441,34;;;;
17;2023-10-10;2023-10-10;;Överföring via internet;ValleB tack;-280,00;62 879,74;;;;
18;2023-10-10;2023-10-10;;Överföring via internet;Bokföringsmat;-56,80;63 159,74;;;;
19;2023-10-10;2023-10-10;;Överföring via internet;Resa till punkte;-28,00;63 216,54;;;;
20;2023-10-10;2023-10-10;;Överföring via internet;Punktering;-400,00;63 244,54;;;;
21;2023-10-10;2023-10-10;;Överföring via internet;Oljefat + Däckme;-379,00;63 644,54;;;;
22;2023-10-09;2023-10-09;2023-10-10;Bankgiro inbetalning;6428437;300,00;64 023,54;;;;
23;2023-10-09;2023-10-09;2023-10-09;Överföring via internet;Blombukett;-149,00;63 723,54;;;;
24;2023-10-09;2023-10-08;2023-10-08;Bg-bet. via internet;Stortorg Bil;-2 190,00;63 872,54;;;;
25;2023-10-09;2023-10-07;2023-10-07;Bg-bet. via internet;Engångsartiklar;-2 067,00;66 062,54;;;;
26;2023-10-09;2023-10-07;2023-10-07;Bg-bet. via internet;Nya Skåp;-43 775,00;68 129,54;;;;
27;2023-10-09;2023-10-07;2023-10-07;Bg-bet. via internet;Parkering Tour d;-79,00;111 904,54;;;;
28;2023-10-09;2023-10-07;2023-10-07;Bg-bet. via internet;Gasque Hyra WTF;-30 395,00;111 983,54;;;;
29;2023-10-09;2023-10-07;2023-10-07;Bg-bet. via internet;Försäkring Dröna;-1 400,00;142 378,54;;;;
30;2023-10-09;2023-10-07;2023-10-07;Pg-bet. via internet;Pingisnät;-678,00;143 778,54;;;;
31;2023-10-09;2023-10-07;2023-10-07;Pg-bet. via internet;Pingisbollar;-748,00;144 456,54;;;;
32;2023-10-06;2023-10-06;2023-10-09;Bankgiro inbetalning;6428437;1 764,00;145 204,54;;;;
33;2023-10-05;2023-10-05;2023-10-06;Bankgiro inbetalning;6428437;7 000,00;143 440,54;;;;
34;2023-10-03;2023-10-03;2023-10-03;Överföring via internet;Stortorg Glas;-59,80;136 440,54;;;;
35;2023-10-03;2023-10-03;2023-10-03;Överföring via internet;Stortorg Matpref;-19,90;136 500,34;;;;
36;2023-10-03;2023-10-03;2023-10-03;Överföring via internet;Stortorg Glas;-1 557,80;136 520,24;;;;
37;2023-10-03;2023-10-03;2023-10-03;Överföring via internet;Föset Outfit;-126,00;138 078,04;;;;
38;2023-10-03;2023-10-03;2023-10-03;Överföring via internet;Stortorg Mat;-171,92;138 204,04;;;;
39;2023-10-03;2023-10-03;2023-10-03;Överföring via internet;Stortorg Folie;-113,60;138 375,96;;;;
40;2023-10-03;2023-10-03;2023-10-03;Överföring via internet;Stortorg Städ;-49,80;138 489,56;;;;
41;2023-10-03;2023-10-03;2023-10-03;Överföring via internet;Uppdragskväll;-176,00;138 539,36;;;;
42;2023-10-03;2023-10-03;2023-10-03;Överföring via internet;Föset Outfit;-179,80;138 715,36;;;;
43;2023-10-03;2023-10-03;2023-10-03;Överföring via internet;Föset Outfit;-179,95;138 895,16;;;;
44;2023-10-03;2023-10-03;2023-10-03;Överföring via internet;Regattan Outfit;-330,00;139 075,11;;;;
45;2023-10-03;2023-10-03;2023-10-03;Överföring via internet;Stortorg Band;-139,70;139 405,11;;;;
46;2023-10-03;2023-10-03;2023-10-03;Överföring via internet;Föset Outfit;-408,00;139 544,81;;;;
47;2023-09-29;2023-09-29;2023-10-02;Bankgiro inbetalning;6428437;5 250,00;139 952,81;;;;
48;2023-09-29;2023-09-29;2023-09-29;Bg-bet. via internet;Wermlands;-21 220,00;134 702,81;;;;
49;2023-09-29;2023-09-29;2023-09-29;Bg-bet. via internet;Märken Nollesex;-2 056,00;155 922,81;;;;
50;2023-09-29;2023-09-29;2023-09-29;Överföring via internet;Faddergruppsmat;-466,55;157 978,81;;;;
51;2023-09-29;2023-09-29;2023-09-29;Överföring via internet;Campet lampa;-199,90;158 445,36;;;;
52;2023-09-29;2023-09-29;2023-09-29;Överföring via internet;Nollesex jobbarm;-2 470,00;158 645,26;;;;
53;2023-09-29;2023-09-29;2023-09-29;Överföring via internet;83139741326862;14 420,38;161 115,26;;;;
54;2023-09-29;2023-09-29;2023-09-29;Överföring via internet;Mötesfika;-162,90;146 694,88;;;;
55;2023-09-29;2023-09-29;2023-09-29;Överföring via internet;Nollesex komp;-332,00;146 857,78;;;;
56;2023-09-29;2023-09-29;2023-09-29;Överföring via internet;Nollympiaden;-264,70;147 189,78;;;;
57;2023-09-29;2023-09-29;2023-09-29;Överföring via internet;Nollesex komp;-235,90;147 454,48;;;;
58;2023-09-27;2023-09-27;2023-09-28;Bankgiro inbetalning;6428437;359,00;147 690,38;;;;
59;2023-09-25;2023-09-25;2023-09-26;Bankgiro inbetalning;6428437;80,00;147 331,38;;;;
60;2023-09-25;2023-09-25;2023-09-25;Bg-bet. via internet;Sponsring A sekt;-5 000,00;147 251,38;;;;
61;2023-09-25;2023-09-25;2023-09-25;Bg-bet. via internet;skadogörelse A s;-350,00;152 251,38;;;;
62;2023-09-25;2023-09-25;2023-09-25;Bg-bet. via internet;Merch inköp;-141,00;152 601,38;;;;
63;2023-09-25;2023-09-25;2023-09-25;Bg-bet. via internet;Aspia;-4 306,25;152 742,38;;;;
64;2023-09-25;2023-09-25;2023-09-25;Överföring via internet;HÄS Presentkort;-4 550,00;157 048,63;;;;
65;2023-09-21;2023-09-21;2023-09-21;Överföring via internet;83139741326862;-8 000,00;161 598,63;;;;
66;2023-09-19;2023-09-19;2023-09-20;Bankgiro inbetalning;6428437;275,00;169 598,63;;;;
67;2023-09-19;2023-09-19;2023-09-19;Överföring via internet;83139741326862;-15 000,00;169 323,63;;;;
68;2023-09-19;2023-09-19;2023-09-19;Överföring via internet;83139741326862;-30 000,00;184 323,63;;;;
69;2023-09-19;2023-09-19;2023-09-19;Överföring via internet;Faddergruppsmat;-775,00;214 323,63;;;;
70;2023-09-19;2023-09-19;2023-09-19;Överföring via internet;Internöverföring;200 000,00;215 098,63;;;;
71;2023-09-12;2023-09-12;2023-09-13;Bankgiro inbetalning;6428437;75,00;15 098,63;;;;
72;2023-09-12;2023-09-12;2023-09-12;Bg-bet. via internet;Mantelbrodyr;-3 413,00;15 023,63;;;;
73;2023-09-12;2023-09-12;2023-09-12;Bg-bet. via internet;FlyING bussar;-7 371,00;18 436,63;;;;
74;2023-09-12;2023-09-12;2023-09-12;Pg-bet. via internet;Sonnarp;-19 725,00;25 807,63;;;;
75;2023-09-11;2023-09-11;2023-09-12;Bankgiro inbetalning;6428437;20 325,00;45 532,63;;;;
76;2023-09-11;2023-09-11;2023-09-11;Bg-bet. via internet;Märken;-9 403,00;25 207,63;;;;
77;2023-09-11;2023-09-11;2023-09-11;Bg-bet. via internet;Hemsidaavgift;-485,00;34 610,63;;;;
78;2023-09-11;2023-09-11;2023-09-11;Pg-bet. via internet;Utefotboll;-1 800,00;35 095,63;;;;
79;2023-09-11;2023-09-11;2023-09-11;Pg-bet. via internet;Innefotboll;-1 800,00;36 895,63;;;;
80;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;Milersättning;-1 325,00;38 695,63;;;;
81;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;FlyING Tågresa;-87,75;40 020,63;;;;
82;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;SING Jobbarmat;-125,00;40 108,38;;;;
83;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;SING Komp-handli;-119,50;40 233,38;;;;
84;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;Faddergruppsmat;-581,73;40 352,88;;;;
85;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;Cykel hyra TDL;-1 800,00;40 934,61;;;;
86;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;SING Komp-handli;-414,30;42 734,61;;;;
87;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;Tour de lomma;-99,90;43 148,91;;;;
88;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;Färg;-418,00;43 248,81;;;;
89;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;SING Jobbarmat;-1 145,00;43 666,81;;;;
90;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;Milersättning;-550,00;44 811,81;;;;
91;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;Färg;-2 312,00;45 361,81;;;;
92;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;Ovvelekar Grillk;-199,50;47 673,81;;;;
93;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;Faddergruppsmat;-575,00;47 873,31;;;;
94;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;SING Jobbarmat;-47,70;48 448,31;;;;
95;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;Föset Outfit;-129,00;48 496,01;;;;
96;2023-09-11;2023-09-11;2023-09-11;Överföring via internet;Faddergruppsmat;-488,38;48 625,01;;;;
97;2023-09-08;2023-09-08;2023-09-11;Bankgiro inbetalning;6428437;1 000,00;49 113,39;;;;
98;2023-09-06;2023-09-06;2023-09-07;Bankgiro inbetalning;6428437;33 000,00;48 113,39;;;;
99;2023-09-06;2023-09-06;2023-09-06;Bg-bet. via internet;Halloween-märke;-2 540,00;15 113,39;;;;
100;2023-09-06;2023-09-06;2023-09-06;Överföring via internet;Planhyra;-450,00;17 653,39;;;;
101;2023-09-06;2023-09-06;2023-09-06;Överföring via internet;Valle B Tack;-620,00;18 103,39;;;;
102;2023-09-06;2023-09-06;2023-09-06;Överföring via internet;Skiftes buss;-438,40;18 723,39;;;;
103;2023-09-06;2023-09-06;2023-09-06;Överföring via internet;Arbetskläder;-248,00;19 161,79;;;;
104;2023-09-06;2023-09-06;2023-09-06;Överföring via internet;Milersättning;-1 325,00;19 409,79;;;;
105;2023-09-06;2023-09-06;2023-09-06;Överföring via internet;Mat;-211,50;20 734,79;;;;
106;2023-09-06;2023-09-06;2023-09-06;Överföring via internet;Styrelseutbildni;-680,00;20 946,29;;;;
107;2023-09-06;2023-09-06;2023-09-06;Överföring via internet;Skiftes buss;-175,50;21 626,29;;;;
108;2023-09-06;2023-09-06;2023-09-06;Överföring via internet;Diesel;-1 122,39;21 801,79;;;;
109;2023-09-06;2023-09-06;2023-09-06;Överföring via internet;Milersättning;-500,00;22 924,18;;;;
110;2023-09-06;2023-09-06;2023-09-06;Överföring via internet;Gyckel;-790,00;23 424,18;;;;
111;2023-09-05;2023-09-05;2023-09-06;Bankgiro inbetalning;6428437;740,00;24 214,18;;;;
112;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Inköp Inventarie;-1 824,30;23 474,18;;;;
113;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Skiftes buss;-438,40;25 298,48;;;;
114;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Tack Valleb;-650,00;25 736,88;;;;
115;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Skifte mat;-375,00;26 386,88;;;;
116;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Första hjälpen;-296,00;26 761,88;;;;
117;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Deisel;-1 168,37;27 057,88;;;;
118;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Skiftes buss;-438,00;28 226,25;;;;
119;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Skiftes buss;-438,40;28 664,25;;;;
120;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Inventarie;-1 595,00;29 102,65;;;;
121;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Byggmaterial Nol;-1 003,65;30 697,65;;;;
122;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Biltvätt;-69,28;31 701,30;;;;
123;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Biltvätt;-34,72;31 770,58;;;;
124;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Inköp Biltema;-274,50;31 805,30;;;;
125;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Skifte Middag;-3 319,00;32 079,80;;;;
126;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Rengöring;-99,90;35 398,80;;;;
127;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Skiftes buss;-438,40;35 498,70;;;;
128;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Nano Heltid;-500,00;35 937,10;;;;
129;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Byggmaterial;-807,40;36 437,10;;;;
130;2023-09-05;2023-09-05;2023-09-05;Överföring via internet;Skifte Fika;-249,20;37 244,50;;;;
131;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Faddergruppsmat;-700,00;37 493,70;;;;
132;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Camp Frukost;-27,80;38 193,70;;;;
133;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Camp Blandat;-374,40;38 221,50;;;;
134;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Faddergruppsmat;-515,24;38 595,90;;;;
135;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Faddergruppsmat;-434,04;39 111,14;;;;
136;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Camp Städning;-125,60;39 545,18;;;;
137;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Camp Jobbargodis;-141,00;39 670,78;;;;
138;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Camp Batterier;-134,80;39 811,78;;;;
139;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Marschaller;-497,30;39 946,58;;;;
140;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Ved;-899,10;40 443,88;;;;
141;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Faddergruppsmat;-504,00;41 342,98;;;;
142;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Faddergruppsmat;-548,04;41 846,98;;;;
143;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Faddergruppsmat;-85,60;42 395,02;;;;
144;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Material;-105,00;42 480,62;;;;
145;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Faddergruppsmat;-493,20;42 585,62;;;;
146;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Faddergruppsmat;-77,90;43 078,82;;;;
147;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Faddergruppsmat;-118,91;43 156,72;;;;
148;2023-09-04;2023-09-03;2023-09-03;Överföring via internet;Camp Drivmedel;-279,00;43 275,63;;;;
149;2023-08-31;2023-08-31;2023-08-30;Bg-bet. via internet;Busscampet;-43 245,00;43 554,63;;;;
